hhsex;age;educ;married;kids;lf;famstruct;race;OCCAT1;OCCAT2;income;wageinc;bussefarminc;intdivinc;kginc;ssretinc;transfothinc;norminc;knowl;logWealth
1;46;4;2;1;1;1;2;2;2;20252.7283170592;0;12151.6369902355;0;0;0;0;40505.4566341183;5;10.6048756829977
0;71;13;1;0;0;5;1;3;4;75947.7311889719;0;0;0;0;75947.7311889719;0;75947.7311889719;10;12.1308101610296
1;56;8;2;0;1;3;1;1;3;32404.3653072947;12151.6369902355;0;0;0;0;20252.7283170592;14176.9098219414;10;8.47637119689598
0;73;13;2;0;0;3;1;3;4;111390.005743825;0;31391.7288914417;0;49619.184376795;30379.0924755887;0;111390.005743825;10;15.002438927681
1;62;13;2;0;1;3;2;1;1;133668.006892591;103288.914417002;14176.9098219414;0;0;16202.1826536473;0;133668.006892591;10;12.629050178723
0;71;12;2;0;1;3;1;1;1;31391.7288914417;9113.72774267662;0;0;0;22278.0011487651;0;31391.7288914417;5;12.7218858108072
0;74;13;2;0;1;3;1;2;2;455686.387133831;101263.641585296;278475.014359564;15189.5462377944;0;60758.1849511775;0;455686.387133831;10;15.5581498085609
0;59;12;1;0;1;5;1;2;2;197464.101091327;124554.279149914;31189.2016082711;16202.1826536473;5265.70936243538;0;0;197464.101091327;7;17.4479254750971
0;76;14;1;0;1;5;1;2;1;0;66834.0034462952;2725.00459506031;253159.10396324;238982.194141298;54682.3664560597;0;0;10;17.3521416882904
1;68;9;2;0;0;3;1;3;4;22278.0011487651;0;0;0;0;20252.7283170592;0;22278.0011487651;6;9.74741836688624
0;70;13;2;0;0;3;1;3;4;95187.8230901781;0;0;30.3790924755887;0;94175.1866743251;0;95187.8230901781;9;13.6971773710024
0;38;12;1;2;0;4;5;4;4;2207547.38655945;334170.017231476;1822745.54853533;11139.0005743825;0;0;0;2207547.38655945;10;17.6106176516754
0;66;12;1;0;1;5;1;2;1;210628.374497415;0;15189.5462377944;50459.6726019529;66834.0034462952;77973.0040206778;0;210628.374497415;10;14.9432932239322
0;61;8;2;0;1;3;1;2;1;172148.190695003;164047.099368179;8101.09132682367;0;0;0;0;126579.55198162;8;14.0832449926064
0;62;12;1;0;1;5;1;1;1;198476.73750718;185312.464101091;0;506.318207926479;0;3037.90924755887;0;198476.73750718;9;14.172954206374
0;58;8;1;0;1;5;1;2;2;71897.18552556;46581.2751292361;24303.273980471;334.170017231476;0;0;0;71897.18552556;7;13.9112842666861
0;68;10;1;0;1;5;1;1;2;47593.911545089;32404.3653072947;0;0;0;43543.3658816772;0;47593.911545089;9;12.8674711277755
0;46;8;2;0;1;2;1;1;2;27341.1832280299;26328.5468121769;0;0;0;0;708.845491097071;40505.4566341183;6;10.0858091093301
0;49;10;1;2;1;4;1;1;1;87086.7317633544;75947.7311889719;-8101.09132682367;0;0;18227.4554853533;0;87086.7317633544;8;12.0668105781967
0;39;5;1;3;1;4;3;1;2;40505.4566341183;40505.4566341183;0;0;0;0;0;35442.2745548535;6;10.1961571664989
