id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000144,403.59,62.09,3,51.512798,11.95934,6.8185477,1,0,1,0,0
1000145,404.95999,64.279999,3,51.003601,13.79909,0.80171514,1,0,1,0,0
1000146,437,56,2,52.410091,9.6042004,3.8426919,0,0,1,0,0
1000147,1190,55,2,50.922131,6.95714,2.7715414,1,1,0,0,0
1000148,420,59.34,2,53.635078,11.42793,2.6030602,0,1,0,0,0
1000149,399,53,2,52.10989,11.63078,8.4276133,1,1,0,1,0
1000150,496,75.089996,3.5,51.603451,7.1911802,2.5681689,1,0,1,0,0
1000152,386,48.740002,2.5,51.523251,7.4769802,2.7145138,1,0,1,0,0
1000154,449,65.599998,4,52.096851,11.62295,0.98339117,1,1,1,0,0
1000156,380,60,3,51.381100000000004,12.36279,0.57839984,0,0,1,0,0
1000157,259,33.400002,1,52.10474,11.64138,2.5448017,1,1,1,0,0
1000158,438,57,2,51.30471,12.3793,5.8087339,0,1,0,1,0
1000159,508,76,3,51.51302,6.78655,3.849766,1,0,1,0,0
1000160,635,71.339996,3,51.384548,6.75562,3.0065506,1,0,1,0,0
1000162,565,62.490002,2,51.470551,6.9457202,0.17375945,1,0,1,0,0
1000163,546,75.709999,2,52.120899,11.63,5.36413,1,0,0,0,0
1000164,409,74,3,52.307121,8.5956802,1.7468737,1,0,1,0,0
1000165,389,57,2,51.539631,7.4111099,6.2958817,1,0,0,0,0
1000166,1290.8,129.08,4,51.338749,12.39009,2.61443,1,1,1,1,0
1000167,637,86.050003,3,54.08567,9.9685202,0.2392181,1,1,1,0,0
1000168,1184.9301,83.800003,3,50.10117,8.6315899,2.8847256,1,0,1,0,0
1000170,1089,86.480003,3,51.052158,13.72927,5.6406078,1,1,1,0,0
1000172,230,41.189999,2,51.442902,11.97291,7.0557842,0,0,1,0,0
1000173,1400,135,4,50.137489,8.7335901,6.6706476,1,0,1,0,0
1000174,1587.98,121.22,3,51.04924,13.73308,3.5652459,1,1,1,0,0
1000175,869.22998,83.129997,4,52.542011,13.60282,0.35919926,1,0,1,0,0
1000176,1372.3,117.79,4,51.48938,7.5191898,3.0161209,1,1,1,1,0
1000177,1399,88,3,50.11618,8.63867,0.32474378,1,0,0,0,0
1000178,270,50,2,51.635231,7.3292298,2.9140441,0,0,0,0,0
1000180,291.82001,57.220001,2,51.447659,11.97221,1.8263726,1,1,1,0,0
1000182,488,69.709999,3,50.988281,11.03115,0.52944744,0,0,0,0,0
1000183,302,54.869999,2.5,51.502892,7.0026798,1.4485312,0,0,1,1,0
1000184,274.82999,61,2.5,51.533211,6.7276702,2.5092196,1,0,1,0,0
1000187,890,91,2,51.1763,6.8313098,0.29840621,1,0,1,0,0
1000188,1118.7,101.7,4,48.09726,11.50894,1.4757063,1,0,1,0,0
1000192,582.53998,90,3,51.161499,6.4460001,2.9135015,0,0,1,0,0
1000193,300,54,2,50.83115,12.89179,7.4449658,0,0,1,0,0
1000196,378,70,3,51.454899,11.98355,2.1317859,0,0,1,0,0
1000198,1544.4,112.32,4,52.515999,13.46619,1.2963583,1,1,0,0,0
1000200,375,60,2,51.451401,6.9868102,1.200846,1,0,1,0,0
1000201,1316.5,119.69,4,51.338219,12.38489,6.8465028,1,0,1,1,0
1000202,810,85,3,52.304279,13.61758,1.7644933,1,0,1,1,0
1000203,608.51001,40,1,49.433781,11.04743,2.570261,1,1,0,0,0
1000204,790,62.099998,2,53.681309,9.9767704,1.1609818,1,1,0,0,0
1000205,502,81,3,50.91032,7.9823599,0.58844846,1,0,0,0,0
1000206,1100,118,3,51.391029,7.4717598,0.58574402,1,0,1,0,0
1000207,1400,148,3,51.34866,7.5086598,0.79593235,1,0,0,0,0
1000209,200,25,1,50.909382,7.98277,4.746222,0,1,0,0,0
1000210,1050,55.389999,2,50.096909,8.6939402,0.22230276,1,1,1,0,0
1000211,340,55.5,2,52.415031,12.55345,4.7006798,0,0,0,0,0
1000212,317,52.5,2,51.452,11.95521,2.8238323,1,0,1,0,0
1000213,293,50.48,2,51.451931,11.95756,2.2328875,1,0,1,0,0
1000214,347,59.73,3,51.450169,11.95785,2.4466345,1,0,1,0,0
1000216,1020,121,4,47.551289,7.9450102,3.6045282,1,1,0,0,0
1000219,200,32,1,51.440681,6.7479401,2.4352171,0,0,0,0,0
1000221,205.5,43,2,51.66069,9.6389799,1.413681,0,0,0,0,0
1000222,208.21001,49,1.5,51.086891,7.1159601,3.003396,1,0,0,0,0
1000223,226,38,1,51.379311,6.7443299,1.6676619,0,0,0,0,0
1000225,231.17,39,1,51.386749,6.7573299,1.5474106,1,0,0,0,0
1000226,243,51,2,51.663689,9.6343803,2.6286309,1,0,0,0,0
1000228,250,53,2,51.517059,7.1020002,7.5896400999999996,0,0,0,0,0
1000230,255,46,2,51.517578,7.1265001,0.47178042,0,0,0,1,0
1000231,258,40,1,51.483749,6.9075799,7.5371065,0,0,0,0,0
1000234,265,58,2,51.66106,9.6418104,6.5803027,0,0,0,1,0
1000235,267.35001,66,2,51.50378,7.1166,3.9590509,0,0,0,0,0
1000236,417,69.550003,2,52.103371,11.64062,1.6071376,1,0,1,0,0
1000237,274,46,2,51.481689,7.0002298,3.3236818,0,0,0,0,0
1000238,275,59,2,51.500999,7.11408,1.6964624,0,0,0,0,0
1000240,317,52.869999,2,52.103611,11.64152,0.79113626,0,0,1,0,0
1000244,280,58,2,51.517109,7.1131802,3.3196161,0,0,0,1,0
1000245,280,55,2,51.47118,6.8534398,5.3717718,0,0,0,0,0
1000247,281.14999,63,2,51.504398,7.11833,6.7213464,0,0,0,0,0
1000248,282,59,2.5,51.34824,7.4360399,3.418771,0,0,0,0,0
1000249,283.25,69,2,51.504398,7.1167498,0.53390396,0,0,0,0,0
1000250,285,47,2.5,51.352699,7.4558301,4.500586,1,0,1,0,0
1000253,290,40,2,51.472561,6.7795501,0.9516049,0,0,0,0,0
1000254,292,49,3,51.483822,6.9075599,5.5506287,0,0,0,1,0
1000255,292.60001,44,2,51.526749,6.73458,0.56771415,0,0,0,0,0
1000260,298,62,2.5,51.375099,7.4626298,2.1017468,0,0,0,0,0
1000261,299,61,3.5,51.589241,7.0243602,0.038459159,0,0,0,0,0
1000262,299,52,2,51.516949,7.1019802,1.558755,0,0,0,0,0
1000263,299,53,2,51.416618,6.7596002,7.9694762,0,0,0,0,0
1000264,300,55,2,51.514259,7.1073699,2.7066429,0,0,0,0,0
1000265,303.23001,65,2.5,51.492432,6.7969398,2.3209617,1,0,0,0,0
1000267,308.95001,62,2,51.504669,7.11903,4.4523287,0,0,0,0,0
